raw_currency,currency_code
usd - us dollar,USD
gbp - sterling,GBP
eur - euro,EUR
cad - canadian dollar,CAD
chf,CHF
chf - swiss francs,CHF
aud - australian dollar,AUD
cny,CNY
dkk,DKK
dkk (danish krone),DKK
inr,INR
inr - indian national rupees,INR
inr ₹,INR
indian rupees,INR
ruppe,INR
singapore dollar,SGD
