raw_city,clean_city
Ljubljna,Ljubljana
Mancester,Manchester
Praha,Prague
zurich,Zurich
"Zürich",Zurich
"Basel (greater Area)",Basel
"Pune, Maharashtra",Pune
"Vitry-sur-seine (Paris)",Vitry-sur-Seine
Remote,
