raw_company_name,harmonized_company_name
"Thermo Fisher Scientific ","Thermo Fisher Scientific"
"ThermoFisher","Thermo Fisher Scientific"
"Thermofisher","Thermo Fisher Scientific"
"TriLink Biotechnologies","TriLink Biotechnologies"
"UGA","University of Georgia"
"UVA","University of Virginia"
"Ultragenyx","Ultragenyx"
"University of Alabama at Birmingham","University of Alabama at Birmingham"
"University of California","University of California"
"University of California, Berkeley","UC Berkeley"
"University of Copenhagen","University of Copenhagen"
"University of Georgia","University of Georgia"
"University of Glasgow","University of Glasgow"
"University of Guelph","University of Guelph"
"University of Helsinki ","University of Helsinki"
"University of Oxford","University of Oxford"
"University of Pennsylvania","University of Pennsylvania"
"Veracity","Veracity"
"Vertex","Vertex Pharmaceuticals"
"Vertex Pharmaceuticals","Vertex Pharmaceuticals"
"Washington University in St Louis School of Medicine","Washington University in St. Louis"
"WuXi","WuXi"
"Xcellon Biologics","Xcellon Biologics"
"Zymeworks Inc.","Zymeworks"
"cGMP Validation ","Unknown"
"gilead","Gilead Sciences"
"illumina","Illumina"
"moderna","Moderna"
